strategy,my_second_last_move,my_last_move,opponent_second_last_move,opponent_last_move,opponent_next_move
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
sequence,S,R,R,R,R
sequence,R,P,R,R,R
sequence,P,S,R,R,R
